"",logFC,AveExpr,t,P.Value,adj.P.Val,B
1087_325.235033,-0.75749,3.4694e-16,-3.4915,0.0036349,0.022901,-2.1898
337_273.167333,0.77011,1.6237e-16,3.491,0.0036385,0.022901,-2.1908
707_171.101638,0.78738,-6.7897e-16,3.4901,0.0036451,0.022901,-2.1925
1064_470.076145,0.80681,-3.3862e-16,3.4835,0.0036932,0.023083,-2.2054
45_229.2163,0.72638,-5.5234e-16,3.4232,0.0041615,0.025875,-2.3228
697_782.119356,1.0596,3.5527e-16,3.3965,0.004388,0.027142,-2.3748
171_316.284712,-0.73884,-1.8111e-16,-3.3902,0.0044428,0.02734,-2.387
1002_255.859836,-0.68777,-5.8703e-16,-3.3603,0.0047143,0.028863,-2.4452
1054_224.948487,-0.85677,-2.498e-17,-3.3487,0.0048239,0.029384,-2.4677
1083_289.177512,0.73291,3.7097e-16,3.325,0.0050554,0.030605,-2.5136
228_335.174055,0.70729,-7.5218e-16,3.323,0.0050753,0.030605,-2.5175
280_528.410692,0.92727,1.6653e-17,3.3046,0.0052639,0.031515,-2.5532
1216_449.287424,0.69363,-1.3878e-17,3.3019,0.0052926,0.031515,-2.5585
1015_326.30544,-0.76726,1.4988e-16,-3.3007,0.005305,0.031515,-2.5608
732_170.117621,0.87,-5.7766e-16,3.2728,0.0056073,0.033147,-2.6151
629_202.180242,0.99075,-1.1588e-16,3.267,0.0056714,0.033322,-2.6262
702_193.083598,-0.60222,-2.0817e-18,-3.2652,0.0056925,0.033322,-2.6298
214_253.107146,-0.73092,5.5112e-16,-3.2617,0.0057317,0.033389,-2.6365
1045_295.188082,-0.71173,1.8596e-16,-3.2553,0.0058046,0.03365,-2.6489
273_115.036603,-0.86035,7.0404e-16,-3.2347,0.006047,0.034887,-2.6888
1023_208.707438,0.76922,-1.628e-16,3.2285,0.0061212,0.035146,-2.7007
836_186.981061,-0.87368,-5.8009e-16,-3.2226,0.0061941,0.035395,-2.7123
808_284.294892,-0.86495,-7.3136e-16,-3.2172,0.0062602,0.035603,-2.7227
267_606.390386,-0.82819,4.5519e-16,-3.2092,0.0063603,0.036002,-2.7381
59_239.16186,0.67004,-2.7756e-18,3.2019,0.0064529,0.036355,-2.7522
741_175.11902,0.87148,7.6328e-18,3.1795,0.0067453,0.037824,-2.7955
998_783.11886,0.79828,-2.4199e-17,3.1685,0.0068942,0.038479,-2.8167
275_342.227604,-0.76268,8.1879e-16,-3.166,0.0069284,0.038491,-2.8215
1106_354.086206,0.71586,-8.9651e-16,3.159,0.0070261,0.038854,-2.8352
619_239.105676,0.79012,-6.3977e-16,3.1555,0.0070744,0.038942,-2.8419
927_308.185731,-0.72324,1.6653e-16,-3.15,0.0071516,0.039187,-2.8524
240_357.147171,0.73152,-5.1903e-16,3.1321,0.0074104,0.040293,-2.887
950_237.221385,0.71749,-3.4139e-16,3.1314,0.0074207,0.040293,-2.8884
952_239.935583,-0.86806,2.7027e-16,-3.1241,0.0075282,0.040693,-2.9024
27_398.232663,-0.96816,1.0547e-16,-3.112,0.007711,0.041494,-2.9257
