peakID,Control1,Control2,Control3,Control4,Control5,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,Serum-free1,Serum-free2,Serum-free3,Serum-free4,Serum-free5,RA1,RA2,RA3,RA4,RA5
569_865.111381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1844283.512,0,0,0
570_541.395705,0,0,0,1910837.118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584102.275
571_259.16695,0,0,0,0,0,0,1438696.85,0,0,0,0,0,0,0,0,1415822.846,0,0,0,0
572_574.058956,0,0,0,0,2338365.763,0,0,0,0,0,0,0,0,0,0,0,2014877.173,0,0,0
573_532.682928,0,0,0,0,0,0,0,1618769.126,0,0,0,0,0,0,0,0,0,0,0,1630377.189
574_586.424765,0,0,0,1969464.397,0,0,0,0,0,0,2159006.635,0,0,0,0,0,0,0,0,0
575_597.103003,0,0,0,0,0,0,0,2003947.041,0,0,0,1638702.25,0,0,0,0,0,0,0,0
576_808.853656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1872382.314,0,0,0
577_562.956487,0,0,0,0,0,0,0,0,0,2804575.571,0,0,0,0,0,1949021.312,0,0,0,0
578_569.421023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
579_575.697624,0,2071151.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
580_751.460322,0,0,0,0,0,0,0,0,0,3060541.291,0,0,0,0,0,0,0,0,0,0
581_549.725043,0,0,0,0,0,0,0,0,0,0,0,0,1374298.723,0,0,0,2281365.172,0,0,0
582_566.092139,2372856.405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
583_825.361776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2101300.878,1789604.596
584_779.629866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329402.974,0,0
585_818.924469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696642.962,0,0,0
586_563.315591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587_561.894641,2173132.334,0,0,0,0,0,0,0,0,0,0,0,0,2247660.375,0,0,0,0,0,0
588_559.783138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
589_559.690501,0,0,0,0,0,3070407.15,0,0,0,0,0,0,0,0,0,0,0,0,1823989.811,0
590_559.591755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
591_834.4664,2230101.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845397.305,0
592_566.012739,0,0,0,0,0,0,0,1824225.635,0,0,0,0,0,0,0,0,0,0,0,0
593_555.782748,0,0,0,0,0,0,1697456.42,0,0,0,0,0,0,0,0,0,0,0,0,0
594_861.713444,0,0,0,1809831.706,2121558.899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
595_540.774414,1916026.091,0,0,0,0,0,0,0,2457600.769,0,0,0,0,0,0,0,0,0,0,0
596_548.828166,0,0,0,0,0,0,0,0,0,0,0,0,0,2247265.492,0,0,0,0,0,0
597_523.266628,0,0,0,0,0,0,0,0,0,0,0,0,1542472.245,0,0,0,0,0,0,0
598_949.458199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
599_526.021191,0,0,0,0,2203428.923,0,0,0,0,0,0,0,0,0,0,0,0,0,1741312.148,0
600_538.77242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1456331.945,0,0,1821188.352,0
601_572.249924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114870.737,0
