"",logFC,AveExpr,t,P.Value,adj.P.Val,B
4860_927.087685,0.47493,8.5904e-16,1.6566,0.10225,0.352,-4.6528
1333_360.362573,0.47435,-6.356e-16,1.6543,0.10272,0.352,-4.6563
723_556.279857,-0.48801,-1.7694e-16,-1.6538,0.10283,0.352,-4.6571
717_211.096572,-0.47246,-2.2794e-16,-1.6535,0.10288,0.352,-4.6575
1130_319.172842,0.47562,-1.0519e-15,1.653,0.10299,0.352,-4.6583
933_361.198655,0.47332,2.0817e-16,1.6517,0.10325,0.352,-4.6602
5413_277.980611,0.47203,6.6058e-16,1.6476,0.1041,0.35306,-4.6663
600_538.77242,0.47251,-8.6459e-16,1.6473,0.10415,0.35306,-4.6667
5424_517.921589,0.47111,4.316e-16,1.645,0.10463,0.35334,-4.6702
1123_267.195575,0.47066,2.2343e-16,1.6429,0.10508,0.35334,-4.6734
4988_539.833641,0.47058,-8.7014e-16,1.6427,0.10512,0.35334,-4.6737
1009_272.185738,0.47838,9.1541e-16,1.6351,0.1067,0.35766,-4.6849
1263_372.274565,0.5058,-5.5511e-16,1.6305,0.10767,0.35834,-4.6917
346_442.970406,0.46698,-2.2482e-16,1.6303,0.10771,0.35834,-4.6919
791_265.04726,-0.46066,2.4286e-18,-1.6299,0.1078,0.35834,-4.6926
837_243.047612,-0.46667,2.0817e-18,-1.6252,0.10881,0.36069,-4.6995
831_296.219715,-0.46447,-8.8193e-16,-1.6218,0.10953,0.36203,-4.7045
240_357.147171,0.50605,6.5642e-16,1.6203,0.10984,0.36203,-4.7066
741_175.11902,0.47205,7.4316e-16,1.6177,0.1104,0.36203,-4.7104
782_183.2108,-0.46946,1.9169e-16,-1.6176,0.11042,0.36203,-4.7106
1018_449.199395,0.4741,-9.0761e-16,1.6151,0.11097,0.36284,-4.7143
37_231.206793,-0.46372,5.9414e-18,-1.6134,0.11133,0.3629,-4.7167
5298_532.360412,0.46053,4.5519e-16,1.6122,0.11159,0.3629,-4.7185
750_354.076119,-0.47362,1.7677e-16,-1.6088,0.11234,0.36435,-4.7235
5355_523.871285,0.45849,6.814e-16,1.6056,0.11305,0.36567,-4.7282
252_269.211224,0.46317,5.2527e-16,1.5779,0.11929,0.38481,-4.7682
876_300.289804,-0.46981,3.1572e-16,-1.5722,0.1206,0.388,-4.7763
1972_571.209137,-0.4654,-1.6376e-16,-1.5511,0.12557,0.40291,-4.8062
1419_619.309756,-0.46384,3.2474e-16,-1.5467,0.12662,0.40518,-4.8123
