"Bucket.label","m.z","Name","Formula","peakid","difkegg","closestkegg","ckeggname","ckeggform","rdif","allkegg","allkeggnames","valid"
"581.0713515428 Da",582.078628,"","C30H19N3O6S2","2752_582.078628",1.03705154279999,"C00167","UDP-glucuronate","C15H22N2O18P2",0.00178791416783453,"","",FALSE
"615.2805485266 Da",616.287825,"","C32H37N7O6","2753_616.287825",0.896751473399945,"C00032","Heme","C34H32FeN4O4",0.00145534649426382,"","",FALSE
"591.1978502740 Da",592.205127,"","C38H29N3O2S","2754_592.205127",0.887450274000003,"C05791","D-Urobilinogen","C33H42N4O6",0.00150336208543845,"","",FALSE
"582.7218454217 Da",583.729122,"","","2755_583.729122",0.474045421699998,"C00500","Biliverdin","C33H34N4O6",0.000814164384476846,"C00500","Biliverdin",FALSE
"698.5824960202 Da",699.589772,"","C41H74N6O3","2756_699.589772",4.67370397980005,"C04144","Tetrahydropteroyltri-L-glutamate","C29H37N9O12",0.00664580558237532,"","",FALSE
"888.0131918736 Da",889.020468,"","C27H52O6S13","2757_889.020468",3.19080812639993,"C05276","trans-Oct-2-enoyl-CoA","C29H48N7O17P3S",0.00358033416187532,"","",FALSE
"602.8090038159 Da",603.81628,"","C13H9N5O5S9","2758_603.81628",1.7268038159001,"C20658","O-Acetyl-ADP-ribose","C17H25N5O15P2",0.00287282474160788,"","",FALSE
"629.2972743719 Da",630.304551,"","C34H43N7OS2","2759_630.304551",3.99397437189998,"C02166","Leukotriene C4","C30H47N3O9S",0.00638725938580523,"","",FALSE
"607.0052480171 Da",608.012524,"","C22H18N5O8PS3","2760_608.012524",0.0763519828999506,"C00043","UDP-N-acetyl-alpha-D-glucosamine","C17H27N3O17P2",0.000125768896471167,"C00043|C00203","UDP-N-acetyl-alpha-D-glucosamine|UDP-N-acetyl-D-galactosamine",FALSE
"823.1279437228 Da",824.13522,"","C38H30N7O9PS2","2761_824.13522",0.0134562772000208,"C00100","Propanoyl-CoA","C24H40N7O17P3S",1.63474673974858e-05,"C00100","Propanoyl-CoA",FALSE
"582.0026292995 Da",583.009906,"","C16H14N4O18S","2762_583.009906",0.245170700500012,"C00500","Biliverdin","C33H34N4O6",0.000421076216174645,"C00500","Biliverdin",FALSE
"725.0849935147 Da",726.09227,"","C37H19N5O10S","2763_726.09227",1.02019351470005,"C19848","Adenylated molybdopterin","C20H26N10O12P2S2",0.00140898095681499,"","",FALSE
"679.5922813524 Da",680.599558,"","","2764_680.599558",7.55661864759998,"C00882","Dephospho-CoA","C21H35N7O13P2S",0.0109970614048862,"","",FALSE
"739.9937694510 Da",741.001046,"","C29H28N2O7S7","2765_741.001046",0.166069450999998,"C11174","1-Diphosinositol pentakisphosphate","C6H19O27P7",0.000224470442239454,"C11174|C11526","1-Diphosinositol pentakisphosphate|5-PP-InsP5",FALSE
"695.2411619167 Da",696.248438,"","C39H34N7O4P","2766_696.248438",8.01503808330006,"C04144","Tetrahydropteroyltri-L-glutamate","C29H37N9O12",0.0113970386372705,"","",FALSE
"615.4274487193 Da",616.434725,"","C34H58N5O3P","2767_616.434725",0.7498512807,"C00032","Heme","C34H32FeN4O4",0.00121694077451409,"","",FALSE
"673.3705948917 Da",674.377871,"","C51H47N","2768_674.377871",7.14869489169996,"C01613","Stachyose","C24H42O21",0.0107302009911412,"","",FALSE
